Speed;Completion;Penalty;Long_shots;Penalty_Acc;Awnings;Dribbling;Long_pass;Short_pass;Intercepts;Head_game;Selection;Tackle;Result
56;62;46;56;95;45;99;78;80;56;75;52;43;1
63;69;47;52;41;59;46;83;44;44;91;51;20;1
62;96;70;65;96;68;57;62;40;20;90;34;21;4
89;77;85;94;94;45;83;57;63;34;83;53;57;0
53;85;56;53;45;67;87;68;30;46;59;27;32;2
62;85;88;47;65;71;79;52;46;60;54;40;40;2
75;57;80;80;78;47;79;82;69;23;50;57;53;3
70;77;80;64;75;38;85;36;44;27;58;42;45;3
77;45;96;47;37;54;87;47;86;23;51;34;27;0
98;51;46;53;67;41;56;34;79;20;64;23;58;1
98;62;80;69;48;49;75;38;72;43;91;26;34;0
86;81;49;82;72;52;87;63;48;46;83;55;25;1
87;61;99;86;78;85;82;74;36;59;89;52;25;0
63;47;83;62;67;78;76;43;43;34;56;26;47;0
75;71;66;66;61;33;84;59;67;26;83;23;42;2
91;69;48;64;82;30;74;57;59;54;79;33;21;1
45;72;96;92;42;43;49;55;64;20;93;35;47;4
95;72;46;96;94;53;61;59;38;47;64;52;58;1
71;63;51;53;40;82;60;78;62;36;45;29;36;3
50;51;46;76;62;61;61;61;62;46;69;37;33;1
80;67;55;51;67;76;93;33;52;37;78;23;37;2
80;67;82;95;99;76;70;41;68;54;74;39;20;0
80;70;97;56;45;48;81;73;47;47;68;38;42;2
83;88;97;86;78;78;66;56;89;39;67;35;44;3
58;99;78;94;69;64;97;48;63;20;75;23;38;3
54;49;62;51;69;77;93;67;34;30;57;25;42;0
67;45;77;77;42;32;95;69;33;56;81;20;33;0
54;58;88;82;80;32;63;67;82;53;64;59;23;0
77;63;99;77;56;51;88;69;42;39;84;60;49;0
69;52;96;76;42;44;53;72;45;53;80;39;33;0
69;67;50;97;80;60;69;59;72;24;75;30;26;1
71;77;49;55;51;45;98;62;58;35;72;46;34;1
78;64;61;82;79;76;90;64;89;25;92;58;32;1
66;77;87;71;36;31;83;37;70;31;96;50;37;2
70;98;81;56;65;71;84;49;32;52;51;47;45;3
66;98;84;94;59;56;73;41;60;33;67;51;39;3
61;83;61;97;74;81;74;70;50;24;68;57;42;1
47;93;82;71;56;70;77;30;74;41;70;47;46;4
55;88;78;57;61;75;78;58;87;23;75;55;54;2
67;63;76;57;46;46;81;75;72;37;95;46;44;2
76;86;58;89;61;50;83;53;55;60;64;33;23;1
79;79;72;83;72;59;55;40;70;57;73;36;28;4
79;78;75;49;71;83;59;38;81;35;96;45;57;2
81;50;92;47;39;38;47;42;83;39;98;38;29;2
61;53;49;53;53;76;65;54;53;40;65;43;51;1
99;62;55;61;46;79;94;42;36;43;65;27;43;1
66;45;57;54;89;32;61;73;45;39;86;38;50;0
59;74;96;99;85;31;70;40;53;41;79;40;57;4
96;69;55;75;98;62;96;57;88;48;97;42;44;1
82;74;95;57;94;85;62;32;36;29;69;56;47;2
62;56;81;69;72;85;58;35;46;60;48;43;32;3
56;81;99;81;85;56;69;48;71;31;56;46;30;3
98;76;61;63;84;35;48;75;89;59;60;42;35;3
50;67;83;66;56;34;66;54;65;36;94;54;40;4
66;56;71;99;86;77;53;84;75;30;59;25;48;0
63;80;57;64;61;67;75;51;44;35;53;32;45;3
45;52;51;49;97;63;74;66;49;59;79;29;34;2
55;52;77;70;53;34;87;61;81;29;66;26;58;0
95;50;85;88;40;85;68;62;35;58;61;41;30;0
86;49;97;57;56;53;79;34;39;53;57;24;39;0
69;66;56;70;49;35;79;67;89;22;53;57;33;3
78;59;99;84;37;61;94;60;86;52;59;44;46;3
65;84;52;56;74;53;51;40;63;48;52;48;51;3
51;82;74;75;46;56;63;48;45;26;81;25;40;4
71;46;87;54;76;63;98;85;44;20;57;30;23;0
85;73;97;87;98;51;67;63;32;35;82;47;29;0
72;71;96;71;49;73;64;41;86;26;54;43;33;3
90;56;48;80;69;62;86;40;30;54;78;35;32;1
45;45;55;69;72;30;74;56;61;36;99;29;26;0
66;96;68;57;42;58;62;76;33;30;93;49;26;2
47;74;54;83;38;48;66;35;37;23;78;49;34;1
70;79;94;58;85;54;85;30;64;41;83;22;57;2
54;99;54;86;62;37;85;80;45;22;70;44;46;1
67;68;77;86;44;53;99;54;66;33;89;41;41;0
93;48;50;85;47;74;70;48;86;50;53;48;38;0
67;78;55;53;90;55;60;44;72;36;98;54;24;2
50;90;51;45;50;37;55;83;56;36;90;34;53;2
57;73;91;91;65;45;63;49;41;25;85;60;26;4
73;54;85;73;94;82;58;85;83;44;46;58;20;3
48;65;72;53;67;79;91;65;46;52;82;27;32;2
83;98;90;90;89;63;58;73;81;57;72;23;40;4
68;77;84;56;70;57;67;49;41;56;54;59;38;3
89;63;87;92;72;71;50;69;68;57;88;45;25;0
91;93;73;51;66;82;70;36;89;37;96;40;33;2
86;66;62;53;82;82;66;51;67;41;57;48;44;2
49;95;67;93;94;80;92;64;84;23;49;41;38;3
97;67;83;86;66;46;53;83;42;52;68;54;31;0
55;67;90;73;74;42;64;85;39;34;87;50;30;4
77;87;53;79;88;42;90;84;60;35;78;46;48;1
85;48;57;74;97;83;92;57;87;48;62;42;45;0
65;89;80;57;80;48;67;45;33;21;83;52;56;2
98;75;53;91;94;44;55;30;85;22;86;36;28;1
69;51;54;64;48;38;73;40;74;35;77;45;47;0
83;55;56;50;46;56;46;63;35;57;65;59;36;2
90;99;65;47;75;58;63;76;37;55;53;43;28;2
72;74;52;55;61;57;92;52;73;29;52;47;46;3
92;88;66;57;54;64;93;61;42;33;64;32;49;2
67;65;90;99;86;77;87;43;73;56;75;24;24;0
85;99;60;90;74;39;70;70;42;55;95;25;27;1
96;47;51;92;43;54;96;31;83;52;95;41;43;0
91;91;97;56;59;61;63;84;61;23;89;59;27;2
93;74;70;68;81;44;57;58;65;22;99;44;33;2
91;56;88;74;53;44;73;73;53;55;98;32;27;0
89;56;51;84;68;78;79;80;30;50;76;29;41;1
52;48;90;87;97;63;61;51;84;40;55;35;46;0
95;66;62;67;35;62;85;39;71;22;94;41;32;1
71;67;80;85;57;62;78;43;84;34;87;30;32;0
46;93;88;62;61;30;88;33;40;20;59;25;26;3
66;52;80;74;93;83;82;68;81;37;94;33;47;0
62;97;51;91;44;39;93;75;87;53;68;58;44;1
70;46;52;62;58;76;75;61;57;56;63;30;44;0
94;91;70;95;57;53;47;84;51;44;83;37;34;1
76;53;72;83;35;66;74;75;82;33;95;53;39;0
70;50;59;77;74;66;99;84;34;20;89;22;51;0
59;58;63;57;77;57;47;71;46;37;58;55;31;4
62;82;46;96;91;67;63;47;75;47;49;60;47;1
90;63;62;80;92;42;69;57;37;52;87;51;59;1
64;77;84;71;41;53;87;82;50;29;82;52;43;2
63;47;76;80;40;40;48;70;46;33;76;47;23;0
46;55;78;88;40;72;53;71;33;55;74;27;32;4
48;90;95;98;52;78;84;36;48;35;52;53;54;3
82;92;86;59;42;31;98;37;31;49;48;51;54;3
83;85;69;72;43;40;82;44;83;44;58;21;35;3
80;74;84;50;51;84;79;36;30;42;92;20;39;2
55;86;93;50;73;82;95;32;68;41;68;30;28;2
64;93;61;58;38;71;60;50;33;37;73;52;32;2
85;76;80;81;75;53;87;56;48;25;95;35;36;0
66;50;71;61;57;34;71;78;78;26;46;54;23;3
69;62;55;56;62;34;58;85;37;53;68;37;42;1
75;90;48;88;86;62;82;52;78;44;62;37;27;1
46;87;67;72;85;32;71;46;69;56;80;42;29;4
66;81;70;54;83;66;54;55;48;56;48;30;36;3
87;62;85;74;40;80;98;54;87;49;71;28;55;0
49;82;63;45;73;37;63;43;90;38;63;47;47;2
57;48;84;81;84;53;54;52;70;32;64;36;46;0
96;97;87;47;73;41;74;83;59;39;55;59;34;2
90;91;61;91;99;63;93;38;47;60;54;26;37;3
94;84;60;49;85;79;83;63;51;26;53;53;34;2
63;72;78;53;82;77;97;83;82;31;85;46;41;2
93;60;76;71;86;35;77;54;77;34;96;24;54;0
53;96;93;80;52;75;64;51;48;51;96;36;23;4
89;69;98;48;86;69;68;79;86;25;64;49;58;2
94;58;66;88;69;73;46;30;60;25;75;42;60;0
62;62;60;67;99;72;87;70;31;26;67;33;22;1
54;68;58;94;69;31;90;60;71;55;56;28;28;3
75;78;84;72;82;52;70;71;75;20;86;32;21;2
79;91;47;55;93;77;62;48;50;47;93;46;37;1
93;56;69;84;83;79;53;32;83;52;92;22;58;0
56;76;46;78;75;43;74;49;42;50;88;53;26;1
62;90;98;55;65;78;72;72;44;47;64;37;32;2
95;65;55;90;83;51;75;50;75;46;58;36;42;1
68;92;86;82;38;51;58;79;32;40;54;29;50;3
75;95;85;60;47;84;86;41;89;56;75;38;22;2
56;84;50;72;92;59;98;64;53;48;60;44;58;1
84;93;87;49;66;83;71;82;80;50;47;53;23;3
97;65;62;95;93;75;84;49;82;29;60;47;54;3
98;83;60;98;48;59;80;38;89;24;68;37;42;1
85;92;73;94;67;36;68;51;45;40;78;55;24;1
90;57;48;87;56;79;75;67;63;36;75;49;21;1
72;63;58;75;97;49;59;49;80;53;96;40;22;1
66;60;87;71;67;64;95;63;56;41;86;39;59;0
74;99;97;46;80;38;53;69;53;56;84;31;58;2
77;82;49;56;68;81;79;59;89;47;57;51;54;1
87;97;97;47;99;37;53;59;67;43;99;36;58;2
46;61;78;63;48;75;73;35;85;56;54;34;40;3
82;58;50;54;92;74;45;32;72;41;95;41;33;1
51;71;51;96;41;40;49;35;71;55;81;27;54;4
75;89;51;80;68;73;45;60;43;32;49;20;47;3
52;59;51;80;49;79;61;47;44;21;72;47;25;1
85;81;61;64;89;74;61;44;37;23;68;58;27;1
87;65;97;51;44;35;47;35;50;20;93;45;35;2
58;67;45;47;47;39;99;32;83;43;80;20;47;1
93;56;51;87;56;70;85;38;87;53;53;36;32;1
55;80;89;72;35;57;71;85;64;52;54;40;21;3
80;58;95;82;84;77;90;58;65;53;71;21;40;0
61;85;84;91;52;59;83;39;71;21;55;28;54;3
74;76;96;58;52;43;52;76;85;26;55;60;38;3
50;50;53;77;99;76;61;69;51;21;45;30;56;3
73;91;72;57;73;40;98;42;37;32;91;57;43;2
71;85;51;84;62;58;76;81;39;22;82;51;34;1
56;48;63;48;41;85;98;36;62;43;45;25;30;3
76;58;92;54;78;85;69;80;86;20;53;26;50;3
73;67;75;46;96;74;92;57;43;56;62;36;54;2
49;52;70;47;75;73;69;54;84;60;67;55;37;2
96;66;72;87;63;45;85;46;41;30;77;48;46;0
74;82;85;56;88;49;85;57;49;40;98;27;43;2
49;79;48;68;51;30;83;73;75;58;76;25;25;1
84;60;82;69;41;65;46;70;32;22;92;36;58;0
54;88;66;69;54;68;95;49;44;26;88;40;59;1
58;72;78;59;65;64;93;68;88;21;58;31;25;3
57;81;47;61;73;64;93;51;46;21;96;46;26;1
50;77;90;92;53;44;97;59;88;31;93;50;20;4
70;78;69;68;79;73;63;42;41;34;87;26;32;4
70;80;58;62;64;79;54;53;69;33;70;46;43;1
94;88;65;84;73;56;65;36;38;28;46;25;48;3
74;85;90;60;49;77;57;76;46;31;79;58;29;2
60;66;55;95;92;57;92;34;70;27;92;52;57;1
50;51;78;49;61;37;78;65;46;52;71;45;41;2
56;61;82;46;64;41;64;81;33;42;74;30;46;2
71;57;47;79;71;39;46;39;43;46;80;42;35;1
97;54;76;91;98;35;52;44;50;55;72;46;58;0
46;70;89;62;40;57;83;47;57;33;67;36;38;2
61;80;83;92;83;81;58;85;50;28;51;29;50;3
70;70;79;52;69;63;87;33;90;27;92;38;38;2
94;66;69;60;39;44;60;56;37;57;58;21;43;3
90;83;54;69;71;39;98;80;50;22;96;31;37;1
67;81;85;74;40;53;54;53;81;49;62;45;54;4
56;92;94;91;42;57;70;67;42;53;80;22;41;4
58;61;80;64;78;39;59;43;81;35;63;33;52;4
82;60;49;64;51;48;62;65;52;46;45;55;27;3
68;74;66;63;53;35;81;68;68;30;67;49;29;2
92;63;61;56;60;82;84;76;41;50;78;20;53;2
47;90;94;75;52;68;60;77;41;28;66;33;22;4
57;83;99;53;68;55;64;83;51;33;63;23;40;2
65;90;87;90;57;40;60;72;44;38;72;38;39;4
86;61;45;56;78;73;96;58;78;22;88;54;43;1
68;85;61;96;57;49;63;76;59;21;83;59;49;1
93;85;50;87;77;83;63;46;64;45;97;54;48;1
78;91;48;59;90;83;87;56;50;26;49;37;49;1
60;99;70;61;73;55;91;85;64;26;83;21;49;2
75;59;83;69;69;62;64;57;61;49;84;21;55;0
84;54;98;79;36;51;89;57;64;57;47;41;60;3
57;81;53;81;89;67;76;39;70;25;61;58;56;1
50;72;70;67;73;66;49;49;61;52;51;59;57;4
49;89;71;58;62;34;79;31;55;21;98;60;45;2
75;54;88;82;57;78;95;68;83;40;61;59;23;0
79;54;45;51;99;48;75;53;51;36;77;54;35;1
78;70;59;49;81;84;99;65;35;36;71;26;56;2
80;73;80;46;67;78;94;79;78;53;62;54;50;2
55;87;61;93;47;43;56;35;34;26;61;29;27;4
50;50;58;71;74;71;55;65;63;24;48;49;55;3
80;69;94;64;85;81;48;63;88;38;91;52;37;4
47;80;69;96;86;73;61;85;51;31;70;23;43;4
79;60;94;48;47;34;71;34;60;44;67;21;51;2
97;50;77;88;43;48;91;64;88;32;85;46;59;0
66;94;54;60;55;39;60;42;61;21;84;35;56;1
69;98;52;49;38;53;47;54;82;31;83;47;43;2
67;77;75;47;52;74;48;76;37;41;75;38;33;2
88;74;72;45;86;75;93;53;69;49;48;53;23;2
79;78;47;51;51;72;73;49;50;40;75;20;47;1
53;91;47;98;77;34;85;58;64;59;72;60;43;1
50;94;82;84;75;63;50;62;83;50;85;45;27;4
62;95;62;98;87;58;65;34;58;54;74;22;31;1
84;72;86;81;36;85;70;49;54;31;57;53;30;3
62;87;55;93;35;52;64;57;31;22;81;56;59;1
93;72;56;91;38;82;99;68;58;54;69;44;53;1
53;76;98;83;57;44;70;41;52;45;94;34;57;4
55;95;99;77;52;56;66;79;59;56;68;23;35;4
97;96;90;65;85;44;67;75;72;39;69;32;38;2
95;48;67;63;58;47;72;75;49;25;61;46;49;0
92;91;89;63;60;57;91;71;54;40;59;28;39;3
80;51;73;83;95;68;66;83;64;60;95;45;27;0
54;86;59;54;74;68;77;37;46;28;83;26;36;2
67;57;65;73;57;75;52;71;78;52;81;32;50;0
47;60;52;71;48;37;65;58;54;33;99;53;22;1
84;95;92;54;81;85;56;66;69;49;89;24;41;2
66;99;64;99;85;58;46;84;75;34;46;57;48;3
68;88;98;85;52;65;59;69;35;30;51;37;46;3
78;64;96;58;41;63;92;74;60;30;78;51;27;2
57;71;99;88;86;30;98;76;36;53;67;40;59;3
81;99;66;89;70;36;59;84;89;36;53;50;50;3
64;86;62;61;52;69;47;56;50;25;79;39;31;4
74;72;59;86;81;57;74;49;88;49;46;56;31;3
67;83;49;53;77;68;81;66;31;43;96;43;28;1
86;56;48;47;47;82;80;43;64;37;53;22;39;2
87;93;74;52;99;62;72;59;52;20;87;44;47;2
45;47;78;73;48;72;80;52;30;46;65;59;24;0
51;84;98;59;87;77;62;42;77;22;46;49;25;3
67;87;58;84;71;79;87;61;85;50;82;30;60;1
58;70;72;85;41;58;50;72;73;34;73;21;27;4
49;70;47;45;73;49;61;36;64;57;83;35;49;2
67;55;64;96;71;58;81;38;48;25;69;57;25;0
80;56;88;45;57;33;97;43;70;51;65;34;24;2
77;46;91;86;68;32;85;69;67;41;79;56;32;0
58;83;62;85;71;78;57;43;63;40;83;22;33;4
64;71;76;92;46;55;75;45;65;35;75;52;58;4
73;47;62;68;48;72;55;36;72;35;85;44;33;0
95;61;49;62;55;52;78;70;76;29;84;54;26;1
58;56;98;48;57;45;52;73;61;21;47;26;56;3
88;99;63;83;43;52;87;69;57;49;72;20;40;1
91;60;98;81;94;57;51;34;67;49;49;51;25;3
77;48;51;97;80;45;57;55;78;30;74;56;20;0
97;99;59;97;39;72;46;72;86;49;81;60;25;1
82;53;73;60;89;46;50;34;84;46;83;24;49;0
47;68;96;52;66;58;92;53;74;29;83;22;31;2
71;62;66;96;49;51;87;65;59;55;93;45;43;0
71;95;98;96;52;46;94;60;55;49;81;37;58;3
85;50;98;75;76;42;60;55;66;28;91;49;42;0
94;67;91;98;42;44;88;57;54;41;53;33;33;3
86;74;70;94;68;75;98;39;85;58;67;26;29;3
61;56;77;52;51;74;67;61;73;53;97;28;52;2
90;58;79;59;50;49;71;45;42;60;59;24;28;0
58;57;65;60;36;33;59;55;75;30;59;59;22;0
50;90;50;79;84;59;93;61;56;34;47;29;27;3
59;70;75;47;37;39;69;85;55;21;55;34;43;2
69;64;46;98;69;55;48;84;44;56;83;20;50;1
77;72;58;50;58;48;72;55;63;22;89;49;44;2
64;97;50;60;62;85;78;73;33;27;93;30;29;1
99;51;82;85;85;60;61;52;74;20;47;53;29;3
78;80;59;72;94;70;77;83;69;39;83;21;35;1
79;62;67;68;76;41;80;41;53;28;62;50;45;3
96;75;89;94;42;44;85;81;60;35;99;51;52;0
97;60;51;78;93;38;76;42;73;58;83;38;27;1
54;95;77;88;71;42;62;76;40;25;50;54;39;3
61;88;71;80;78;42;94;33;89;32;50;39;38;3
70;91;63;92;62;51;55;63;43;41;64;48;44;4
75;80;82;82;63;52;61;65;52;22;52;49;48;3
84;54;75;67;76;52;60;81;78;46;94;24;38;0
89;87;76;62;93;37;81;39;49;40;72;30;30;2
46;58;69;78;94;52;69;44;66;31;46;53;60;3
76;60;63;75;50;69;45;34;53;60;91;49;33;0
71;47;60;53;80;77;90;59;79;23;76;56;32;0
89;49;88;49;49;77;86;66;82;25;98;35;30;2
94;52;88;82;99;30;71;83;46;44;60;38;38;0
97;60;57;77;74;41;56;57;36;57;97;30;24;1
98;90;48;54;49;83;68;85;54;54;52;47;38;1
46;83;60;76;99;70;67;31;30;47;81;60;26;4
47;63;85;52;55;72;61;39;63;56;60;49;24;2
78;88;78;69;92;77;48;41;63;22;58;55;51;3
87;65;45;48;95;68;73;57;36;42;55;35;23;1
95;88;58;86;81;74;63;66;58;60;64;29;31;1
77;62;53;74;50;79;72;48;51;56;65;36;56;1
52;68;74;92;46;77;96;71;56;20;61;44;51;3
94;90;94;88;94;34;59;83;68;35;63;21;33;3
58;99;90;52;96;44;87;50;37;32;50;43;40;3
57;92;66;82;67;48;70;63;44;46;88;36;27;4
48;75;54;82;96;68;49;82;85;31;75;25;26;4
57;66;97;68;63;35;62;54;61;48;70;39;45;4
95;76;83;91;82;37;81;63;88;20;74;39;27;3
59;98;97;72;99;71;78;58;60;58;90;36;23;4
56;76;60;67;79;56;98;85;72;33;62;30;41;1
52;81;59;64;42;46;67;55;44;46;47;26;60;3
63;54;47;87;74;41;95;36;30;55;71;44;49;1
95;71;49;67;46;51;77;54;83;38;96;35;41;1
93;72;79;65;92;63;98;66;61;28;73;43;30;2
74;73;88;69;68;74;55;59;70;26;94;20;48;4
63;78;49;46;37;38;76;53;86;57;81;36;47;2
77;46;48;65;44;46;45;76;53;56;57;57;40;0
71;99;46;83;87;35;85;52;37;51;65;41;27;1
63;79;70;93;70;80;84;73;61;53;89;54;20;1
85;60;52;84;46;37;71;38;45;55;64;30;30;1
84;71;59;60;35;71;90;33;39;37;67;35;29;1
59;60;72;93;73;54;53;32;69;44;69;55;41;4
48;96;54;74;51;85;92;31;75;23;49;41;35;3
77;93;56;63;75;41;52;69;48;46;76;31;37;1
98;94;48;46;43;77;82;72;33;21;93;30;40;2
82;85;78;85;90;71;49;74;79;32;92;23;51;4
64;60;70;74;38;57;64;47;88;47;68;48;48;0
68;97;52;82;71;81;48;33;81;36;90;23;39;1
59;57;73;94;36;52;66;81;44;20;83;57;30;0
62;58;50;77;45;83;45;45;67;53;78;24;50;1
47;74;92;69;51;82;59;44;57;33;54;35;40;4
68;63;46;82;76;60;75;32;71;53;92;60;51;1
48;53;69;91;51;65;95;63;83;45;76;31;24;0
77;46;83;81;43;54;64;66;85;42;97;33;52;0
89;90;76;91;85;61;88;71;84;28;91;20;45;1
77;60;67;98;85;56;81;52;45;44;83;43;29;0
51;95;78;51;53;37;99;76;62;25;52;50;42;2
64;52;67;77;43;40;65;81;62;25;51;49;25;3
61;50;47;45;44;53;57;82;35;24;61;40;21;2
70;95;89;49;72;81;61;54;85;28;74;25;42;2
81;80;89;94;67;52;58;84;35;44;74;23;27;4
59;66;59;63;83;42;53;72;32;22;98;39;54;4
80;84;46;91;69;44;45;35;43;29;52;25;38;1
73;45;93;60;38;85;84;56;67;30;79;33;23;0
98;76;92;78;75;37;78;80;55;20;74;48;30;3
83;75;87;89;83;44;65;32;50;32;94;53;58;4
54;47;92;58;81;79;85;64;88;47;87;29;37;0
57;50;54;97;76;71;85;64;48;27;81;39;55;0
83;88;66;97;82;80;55;36;31;27;98;44;49;1
62;81;94;81;78;68;83;48;65;49;85;35;31;4
90;68;45;49;36;84;85;85;76;54;82;31;29;1
82;54;91;62;68;75;73;33;33;33;70;38;30;0
93;94;51;73;67;62;85;40;49;22;68;50;51;1
72;49;48;98;58;55;47;48;50;55;91;27;41;1
74;78;80;55;80;70;47;80;90;22;63;60;46;2
59;82;84;80;64;77;99;56;35;33;73;35;53;3
47;67;91;61;69;60;61;82;87;48;87;30;49;4
82;65;58;86;85;52;70;56;36;46;50;31;29;3
49;69;64;53;91;50;63;40;49;40;84;23;35;2
97;68;62;51;76;63;71;84;40;20;48;37;33;3
52;93;62;75;51;47;94;62;64;50;95;47;33;1
79;55;87;52;83;68;95;42;83;20;48;25;27;3
63;69;78;75;41;54;56;80;89;56;90;40;22;4
53;55;52;50;53;78;66;37;75;44;50;31;50;3
82;65;54;47;73;34;84;60;70;21;62;51;42;2
94;87;87;73;67;63;62;59;71;60;84;46;53;2
68;61;85;99;73;37;58;45;39;34;84;38;52;0
61;79;77;64;82;43;73;57;59;43;81;21;56;2
98;79;47;58;75;84;66;47;56;44;50;28;38;1
80;66;89;55;61;42;49;81;44;58;97;42;34;2
63;59;92;87;74;57;90;42;34;20;55;29;20;3
97;77;52;70;82;71;90;58;90;39;74;59;36;1
96;92;60;60;88;32;80;72;77;57;57;48;58;3
61;88;96;88;74;38;58;32;74;56;65;54;58;4
85;70;93;94;50;76;71;79;63;27;61;38;57;3
61;55;50;61;69;46;57;48;68;36;59;38;31;1
57;70;65;91;88;34;70;53;38;53;73;38;24;4
52;80;91;73;57;59;98;30;75;34;55;22;44;3
79;61;83;45;68;46;89;49;58;38;53;48;20;2
65;75;80;72;53;41;71;66;39;46;66;38;58;3
48;81;92;96;46;85;61;31;68;60;91;45;34;4
54;80;50;54;88;50;76;61;31;54;55;33;22;1
47;47;90;60;87;82;89;53;39;51;61;53;25;0
45;83;79;54;73;58;91;44;54;32;45;44;50;3
96;85;52;88;69;68;66;61;61;59;59;44;27;1
96;90;57;58;73;51;95;55;35;24;68;24;34;1
72;71;71;99;89;79;56;58;56;22;97;31;60;4
70;73;84;46;42;73;47;53;64;50;94;30;36;2
90;87;72;49;89;71;94;51;49;50;80;22;22;2
69;83;81;74;47;50;66;44;52;46;98;48;34;4
50;66;85;54;60;63;48;33;50;52;72;37;44;4
97;87;92;93;93;76;82;67;74;55;95;49;40;0
